Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11,V(t)_12,V(t)_13,V(t)_14,V(t)_15,V(t)_16
0,8.17342e-10,0.0025611,0.00108547,0.0105028,0.0111172,0.00227828,0.00259141,0.0159033,0.000874071,0.0144346,0.0318119,0.0037696,0.00311011,0.00170823,0.00699491,0.00279298,0.00512219,0.00297004
0,8.60174e-10,0.00389465,0.00461158,0.0150596,0.0162122,0.00319302,0.00626621,0.020148,0.00290163,0.0210027,0.0383528,0.00530632,0.0045937,0.00303994,0.0101175,0.004021,0.0065851,0.00487685
0,9.40394e-10,0.00631245,0.0126049,0.0230807,0.0251813,0.00480303,0.0140543,0.0292049,0.00647423,0.0338876,0.0498506,0.00866495,0.00747809,0.00606244,0.01648,0.00690601,0.00941937,0.0101699
0,1.02062e-09,0.012369,0.0199781,0.0304669,0.0334411,0.00628539,0.0212361,0.037541,0.0121536,0.0474395,0.0604177,0.0139868,0.0101352,0.00884891,0.0223411,0.0114302,0.0120277,0.0150683
0,1.10084e-09,0.0179522,0.0267692,0.0372571,0.0410353,0.00764793,0.0278487,0.0452006,0.0174492,0.0599083,0.0701115,0.0188891,0.0125789,0.0114138,0.0277315,0.0155983,0.0144241,0.0195777
0,1.18106e-09,0.0230912,0.0330139,0.0434881,0.0480049,0.00889805,0.033927,0.0522256,0.022323,0.0713607,0.0789864,0.0233974,0.0148223,0.0137707,0.0326803,0.0194319,0.0166215,0.0237222
0,1.26128e-09,0.0278132,0.0387459,0.0491946,0.0543885,0.0100427,0.0395041,0.0586553,0.0268007,0.0818595,0.0870934,0.0275361,0.016878,0.0159325,0.0372147,0.0229519,0.0186324,0.0275241
0,1.3415e-09,0.0321562,0.0439969,0.0579753,0.0619823,0.0111013,0.044611,0.0658913,0.0310173,0.0914641,0.0953942,0.0329921,0.0187575,0.0179112,0.0413607,0.0261775,0.0207179,0.0320769
0,1.42172e-09,0.0371336,0.0493128,0.0667846,0.072565,0.0139105,0.049277,0.0744902,0.0348901,0.10023,0.103906,0.0381413,0.0204719,0.0197184,0.0461909,0.0295095,0.0232165,0.0368114
0,1.50194e-09,0.0416892,0.0560312,0.0748458,0.0822584,0.0164902,0.0567242,0.0823475,0.0384273,0.111621,0.111647,0.0428544,0.0231121,0.0218793,0.0519808,0.033312,0.0254978,0.0411427
0,1.58216e-09,0.0458492,0.0621729,0.0822057,0.091118,0.0188546,0.0643726,0.0895098,0.04165,0.12232,0.118665,0.0471585,0.0260254,0.0241515,0.0572691,0.0367861,0.0275753,0.0450961
0,1.66238e-09,0.0496384,0.067774,0.0889084,0.0991961,0.021017,0.0713638,0.0960208,0.044578,0.13206,0.125008,0.0510794,0.0286866,0.0262222,0.0620874,0.0399524,0.029462,0.0486953
0,1.7426e-09,0.0530803,0.0728685,0.0949953,0.106542,0.0229902,0.0777388,0.101922,0.0472299,0.140902,0.130718,0.0546413,0.0311114,0.0281042,0.0664653,0.0428304,0.0311699,0.0519627
0,1.75543e-09,0.0535998,0.0736381,0.0959139,0.107651,0.0232889,0.0787034,0.102811,0.0476295,0.142236,0.131575,0.0551789,0.0314781,0.0283884,0.0671262,0.0432649,0.0314271,0.0524557
0,1.76825e-09,0.0541111,0.0743957,0.0968179,0.108743,0.0235831,0.0796534,0.103686,0.0480225,0.143548,0.132417,0.055708,0.0318392,0.0286681,0.0677767,0.0436927,0.0316801,0.0529408
0,1.78107e-09,0.0546142,0.0751414,0.0977075,0.109818,0.0238729,0.0805889,0.104547,0.048409,0.14484,0.133244,0.0562288,0.0321948,0.0289434,0.0684168,0.0441137,0.0319289,0.0534182
0,1.7939e-09,0.0551093,0.0758754,0.0985828,0.110876,0.0241582,0.0815102,0.105394,0.0487892,0.146111,0.134056,0.0567412,0.0325448,0.0292143,0.0690468,0.044528,0.0321735,0.0538879
0,1.80672e-09,0.0555965,0.0765978,0.099444,0.111918,0.0244393,0.0824173,0.106226,0.049163,0.147361,0.134854,0.0572453,0.0328895,0.0294809,0.0696666,0.0449356,0.0324141,0.0543499
0,1.81955e-09,0.0560757,0.0773087,0.100291,0.112942,0.024716,0.0833104,0.107045,0.0495306,0.148591,0.135638,0.0577414,0.0332288,0.0297432,0.0702764,0.0453368,0.0326506,0.0548044
0,1.83237e-09,0.0565471,0.0780081,0.101125,0.11395,0.0249884,0.0841897,0.10785,0.049892,0.149801,0.136408,0.0582293,0.0335628,0.0300012,0.0708764,0.0457314,0.0328831,0.0552515
0,1.84519e-09,0.0570109,0.0786964,0.101944,0.114942,0.0252567,0.0850553,0.108641,0.0502472,0.150991,0.137163,0.0587093,0.0338915,0.0302551,0.0714666,0.0461197,0.0331117,0.0556912
0,1.85802e-09,0.057467,0.0793735,0.102751,0.115918,0.0255208,0.0859073,0.10942,0.0505964,0.152161,0.137905,0.0591814,0.034215,0.0305048,0.0720471,0.0465016,0.0333363,0.0561236
0,1.87084e-09,0.0579155,0.0800395,0.103543,0.116878,0.0257808,0.0867459,0.110184,0.0509396,0.153311,0.138633,0.0596457,0.0345334,0.0307504,0.072618,0.0468772,0.033557,0.0565488
0,1.88366e-09,0.0583566,0.0806947,0.104323,0.117822,0.0260366,0.0875712,0.110936,0.0512768,0.154442,0.139347,0.0601022,0.0348467,0.030992,0.0731794,0.0472467,0.0337739,0.0569669
0,1.94636e-09,0.0604078,0.0837444,0.107948,0.122216,0.0272303,0.0914194,0.114427,0.0528423,0.159701,0.142649,0.0622257,0.0363067,0.0321158,0.075791,0.0489655,0.0347803,0.0589104
0,2.00905e-09,0.0622913,0.0865492,0.111275,0.126256,0.0283323,0.0949693,0.117624,0.0542746,0.164525,0.145646,0.0641757,0.0376524,0.0331484,0.0781898,0.050545,0.0357005,0.0606937
0,2.07175e-09,0.0640156,0.0891216,0.114321,0.129959,0.0293472,0.0982361,0.120541,0.0555806,0.168939,0.148355,0.065961,0.0388894,0.0340945,0.0803867,0.0519923,0.0365389,0.062325
0,2.13444e-09,0.0655888,0.0914735,0.117098,0.133344,0.0302795,0.101234,0.123194,0.0567669,0.172961,0.150791,0.0675902,0.0400234,0.0349585,0.082392,0.0533141,0.0372998,0.063812
0,2.19714e-09,0.0670188,0.0936162,0.119622,0.137612,0.0311334,0.103977,0.125596,0.0578397,0.176614,0.152967,0.0690714,0.0410596,0.0357447,0.0842157,0.0545169,0.0379873,0.0652363
0,2.25983e-09,0.0683947,0.0961825,0.121905,0.144009,0.0319129,0.106478,0.13005,0.058805,0.179916,0.157398,0.0722709,0.0420031,0.036457,0.0858672,0.055607,0.0393603,0.0676451
0,2.32253e-09,0.0725041,0.0999462,0.12396,0.149916,0.0326219,0.10875,0.135306,0.0619351,0.182885,0.16438,0.0794018,0.0443379,0.0371138,0.0873873,0.0568878,0.0407593,0.0698593
0,2.38522e-09,0.0764882,0.10341,0.128532,0.155864,0.038244,0.113192,0.1418,0.0660552,0.185539,0.173042,0.0860478,0.0470308,0.037731,0.0894259,0.0604071,0.0420441,0.0718888
