a,b,fitness
579.1114369501466,969.7272727272727,164681.12852587015
31.272727272727252,312.51612903225805,368593.8742379021
165.0586510263929,543.9560117302053,-75353.26242154714
579.1114369501466,543.9560117302053,-164466.7137144367
579.1114369501466,969.7272727272727,164681.12852587015
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
415.0527859237536,559.5806451612902,3670.3529804777936
165.0586510263929,543.9560117302053,-75353.26242154714
579.1114369501466,969.7272727272727,164681.12852587015
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,43.96774193548379,128931.81151784003
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
415.0527859237536,543.9560117302053,-181586.80958104937
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,43.96774193548379,128931.81151784003
415.0527859237536,543.9560117302053,-181586.80958104937
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
165.0586510263929,543.9560117302053,-75353.26242154714
415.0527859237536,543.9560117302053,-181586.80958104937
415.0527859237536,543.9560117302053,-181586.80958104937
415.0527859237536,543.9560117302053,-181586.80958104937
415.0527859237536,543.9560117302053,-181586.80958104937
415.0527859237536,543.9560117302053,-181586.80958104937
415.0527859237536,543.9560117302053,-181586.80958104937
415.0527859237536,543.9560117302053,-181586.80958104937
415.0527859237536,543.9560117302053,-181586.80958104937
415.0527859237536,543.9560117302053,-181586.80958104937
415.0527859237536,543.9560117302053,-181586.80958104937
415.0527859237536,543.9560117302053,-181586.80958104937
