tau_m,tau_s,tau_plus,tau_minus,a_minus,a_plus,CFI0,CF01,CFI1,alpha,TH0,TH1,fitness
3.534457478005866e-09,4.824291300097752e-10,5.069560117302053e-09,4.65475073313783e-09,0.00011163767741935484,0.0002269153225806452,0.2768328445747801,0.2557184750733138,0.9472140762463344,0.5398826979472141,0.2870234604105572,0.2870234604105572,0
3.534457478005866e-09,4.824291300097752e-10,5.069560117302053e-09,4.65475073313783e-09,0.00011163767741935484,0.0002269153225806452,0.2768328445747801,0.2557184750733138,0.9472140762463344,0.5398826979472141,0.2870234604105572,0.2870234604105572,0
3.534457478005866e-09,4.824291300097752e-10,5.069560117302053e-09,4.65475073313783e-09,0.00011163767741935484,0.0002269153225806452,0.2768328445747801,0.2557184750733138,0.9472140762463344,0.5398826979472141,0.2870234604105572,0.2870234604105572,0
3.534457478005866e-09,4.824291300097752e-10,5.069560117302053e-09,4.65475073313783e-09,0.00011163767741935484,0.0002269153225806452,0.2768328445747801,0.2557184750733138,0.9472140762463344,0.5398826979472141,0.2870234604105572,0.2870234604105572,0
3.534457478005866e-09,4.824291300097752e-10,5.069560117302053e-09,4.65475073313783e-09,0.00011163767741935484,0.0002269153225806452,0.2768328445747801,0.2557184750733138,0.9472140762463344,0.5398826979472141,0.2870234604105572,0.2870234604105572,0
3.534457478005866e-09,4.824291300097752e-10,5.069560117302053e-09,4.65475073313783e-09,0.00011163767741935484,0.0002269153225806452,0.2768328445747801,0.2557184750733138,0.9472140762463344,0.5398826979472141,0.2870234604105572,0.2870234604105572,0
3.534457478005866e-09,4.824291300097752e-10,5.069560117302053e-09,4.65475073313783e-09,0.00011163767741935484,0.0002269153225806452,0.2768328445747801,0.2557184750733138,0.9472140762463344,0.5398826979472141,0.2870234604105572,0.2870234604105572,0
3.534457478005866e-09,4.824291300097752e-10,5.069560117302053e-09,4.65475073313783e-09,0.00011163767741935484,0.0002269153225806452,0.2768328445747801,0.2557184750733138,0.9472140762463344,0.5398826979472141,0.2870234604105572,0.2870234604105572,0
3.534457478005866e-09,4.824291300097752e-10,5.069560117302053e-09,4.65475073313783e-09,0.00011163767741935484,0.0002269153225806452,0.2768328445747801,0.2557184750733138,0.9472140762463344,0.5398826979472141,0.2870234604105572,0.2870234604105572,0
3.534457478005866e-09,4.824291300097752e-10,5.069560117302053e-09,4.65475073313783e-09,0.00011163767741935484,0.0002269153225806452,0.2768328445747801,0.2557184750733138,0.9472140762463344,0.5398826979472141,0.2870234604105572,0.2870234604105572,0
1.7675953079178886e-09,1.088343108504399e-09,4.872492668621701e-09,5.216966438579342e-09,4.455225806451613e-05,0.00022570564516129037,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.30417888563049855,0
1.7675953079178886e-09,1.088343108504399e-09,4.872492668621701e-09,5.216966438579342e-09,4.455225806451613e-05,0.00022570564516129037,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.30417888563049855,0
1.7675953079178886e-09,1.088343108504399e-09,4.872492668621701e-09,5.216966438579342e-09,4.455225806451613e-05,0.00022570564516129037,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.30417888563049855,0
1.7675953079178886e-09,1.088343108504399e-09,4.872492668621701e-09,5.216966438579342e-09,4.455225806451613e-05,0.00022570564516129037,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.30417888563049855,0
1.7675953079178886e-09,1.088343108504399e-09,4.872492668621701e-09,5.216966438579342e-09,4.455225806451613e-05,0.00022570564516129037,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.30417888563049855,0
1.7675953079178886e-09,1.088343108504399e-09,4.872492668621701e-09,5.216966438579342e-09,4.455225806451613e-05,0.00022570564516129037,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.30417888563049855,0
1.7675953079178886e-09,1.088343108504399e-09,4.872492668621701e-09,5.216966438579342e-09,4.455225806451613e-05,0.00022570564516129037,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.30417888563049855,0
1.7675953079178886e-09,1.088343108504399e-09,4.872492668621701e-09,5.216966438579342e-09,4.455225806451613e-05,0.00022570564516129037,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.30417888563049855,0
1.7675953079178886e-09,1.088343108504399e-09,4.872492668621701e-09,5.216966438579342e-09,4.455225806451613e-05,0.00022570564516129037,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.30417888563049855,0
1.7675953079178886e-09,1.088343108504399e-09,4.872492668621701e-09,5.216966438579342e-09,4.455225806451613e-05,0.00022570564516129037,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.30417888563049855,0
2.698680351906159e-09,1.2416177908113393e-09,4.7739589442815255e-09,5.199397197784294e-09,3.812645161290322e-05,0.00023054435483870972,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.2936217008797654,0
2.698680351906159e-09,1.2416177908113393e-09,4.7739589442815255e-09,5.199397197784294e-09,3.812645161290322e-05,0.00023054435483870972,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.2936217008797654,-0.050000000000000044
2.698680351906159e-09,1.2416177908113393e-09,4.7739589442815255e-09,5.199397197784294e-09,3.812645161290322e-05,0.00023054435483870972,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.2936217008797654,0
2.698680351906159e-09,1.2416177908113393e-09,4.7739589442815255e-09,5.199397197784294e-09,3.812645161290322e-05,0.00023054435483870972,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.2936217008797654,-0.7277779999999999
2.698680351906159e-09,1.2416177908113393e-09,4.7739589442815255e-09,5.199397197784294e-09,3.812645161290322e-05,0.00023054435483870972,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.2936217008797654,0
2.698680351906159e-09,1.2416177908113393e-09,4.7739589442815255e-09,5.199397197784294e-09,3.812645161290322e-05,0.00023054435483870972,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.2936217008797654,0
2.698680351906159e-09,1.2416177908113393e-09,4.7739589442815255e-09,5.199397197784294e-09,3.812645161290322e-05,0.00023054435483870972,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.2936217008797654,0
2.698680351906159e-09,1.2416177908113393e-09,4.7739589442815255e-09,5.199397197784294e-09,3.812645161290322e-05,0.00023054435483870972,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.2936217008797654,0
2.698680351906159e-09,1.2416177908113393e-09,4.7739589442815255e-09,5.199397197784294e-09,3.812645161290322e-05,0.00023054435483870972,0.22228739002932552,0.15190615835777127,0.7246334310850441,0.26627565982404694,0.5403958944281525,0.2936217008797654,0
