Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11
1,7.05755e-09,0.0402914,0.0509585,0.0484784,0.0475897,0.0134143,0.0546147,0.062973,0.0108145,0.052385,0.053133,0.00707009,0.0517113
1,7.12131e-09,0.0440427,0.0560434,0.052525,0.0515468,0.014429,0.0596828,0.0686811,0.0115866,0.0569349,0.058373,0.00752219,0.05692
1,7.31166e-09,0.0489429,0.0607047,0.056811,0.055665,0.0153629,0.0638289,0.074376,0.0122682,0.0622087,0.0630087,0.00792792,0.0615378
1,7.31236e-09,0.0489549,0.0607283,0.0568266,0.0556773,0.0153669,0.06385,0.0743945,0.0122723,0.0622259,0.063036,0.0079307,0.0615664
1,7.40024e-09,0.0498712,0.0648771,0.0589623,0.0571148,0.0160289,0.0678109,0.0766975,0.0129662,0.0640118,0.0681861,0.00840288,0.0668262
1,7.91061e-09,0.0454235,0.0553914,0.053182,0.0512732,0.0134416,0.0565598,0.0666082,0.011026,0.0577229,0.0580484,0.00707768,0.057317
1,8.19716e-09,0.0414264,0.0482756,0.0474363,0.0472949,0.0117128,0.0495693,0.0625968,0.00931144,0.0536079,0.0476807,0.00585504,0.0469244
1,8.33448e-09,0.0450798,0.0444975,0.0468135,0.0475711,0.011411,0.0457612,0.0625963,0.00863064,0.0538831,0.0429146,0.00536522,0.0420549
1,8.35541e-09,0.046162,0.0440896,0.0473595,0.048264,0.0114088,0.0452521,0.0631425,0.00857768,0.0546557,0.0422574,0.00531453,0.041406
1,8.40347e-09,0.0480592,0.0433719,0.0487701,0.0501243,0.0158977,0.0450667,0.0654133,0.0130326,0.0567509,0.0411304,0.00953819,0.0402619
1,8.67097e-09,0.0492435,0.0468436,0.0523381,0.0532487,0.0276449,0.0501262,0.0698619,0.0249429,0.0595691,0.0463185,0.0206326,0.0453633
1,8.76274e-09,0.0526541,0.0458979,0.0532913,0.0545475,0.0286166,0.0492838,0.0712284,0.0256428,0.0609013,0.0452566,0.0213094,0.0442165
1,8.92446e-09,0.0538616,0.0500974,0.0550601,0.0554237,0.0292536,0.0536907,0.0726698,0.0261558,0.0612751,0.051366,0.0215947,0.0502019
1,9.03029e-09,0.0560015,0.0504545,0.0570027,0.0572822,0.0286452,0.0535962,0.0738795,0.0255197,0.0631969,0.0516856,0.0209203,0.0505841
1,9.13184e-09,0.0561801,0.0546554,0.059149,0.0585409,0.0283784,0.057661,0.0752988,0.0253083,0.0641809,0.0572631,0.0205035,0.0561566
