Event,Time,V(t)_0,V(t)_1,V(t)_2,V(t)_3,V(t)_4,V(t)_5,V(t)_6,V(t)_7,V(t)_8,V(t)_9,V(t)_10,V(t)_11,V(t)_12,V(t)_13,V(t)_14,V(t)_15,V(t)_16,V(t)_17,V(t)_18,V(t)_19
2,3.22961e-08,0.159495,0.219788,0.155324,0.0586545,0.137013,0.141529,0.181691,0.0698719,0.0896786,0.117268,0.0661399,0.120878,0.0914029,0.0961909,0.0521949,0.122343,0.0653697,0.0638706,0.102033,0.0834888
2,3.23008e-08,0.159735,0.220564,0.156812,0.0582348,0.137339,0.145457,0.181762,0.0696074,0.088958,0.116972,0.0664079,0.122288,0.0917793,0.0969923,0.0520895,0.121783,0.0654878,0.0633286,0.103064,0.0838962
2,3.23055e-08,0.159909,0.221228,0.158177,0.0578143,0.137603,0.149153,0.181767,0.0693308,0.0882397,0.11665,0.0666404,0.12359,0.0921066,0.0977232,0.0520295,0.121206,0.0655778,0.0627895,0.104013,0.0842557
2,3.23136e-08,0.16006,0.222122,0.160514,0.0570894,0.137919,0.154997,0.181629,0.0688051,0.08701,0.116036,0.067747,0.125545,0.0925606,0.0988238,0.051891,0.120178,0.0656702,0.0618694,0.105459,0.084768
2,3.23217e-08,0.160037,0.222721,0.163544,0.0563632,0.13807,0.16023,0.181318,0.0682733,0.0857881,0.115352,0.0694676,0.127266,0.0928858,0.099739,0.0517109,0.119108,0.065689,0.0609584,0.106686,0.0851548
2,3.23298e-08,0.159855,0.223049,0.166172,0.0556367,0.13807,0.164892,0.180848,0.0677138,0.0845746,0.114605,0.0739519,0.128723,0.0930918,0.100482,0.0514925,0.118002,0.0656401,0.0600568,0.10771,0.0854255
2,3.23379e-08,0.159526,0.223126,0.168428,0.0549105,0.137931,0.169026,0.180232,0.0671296,0.0833703,0.113801,0.0780122,0.129899,0.0931877,0.101066,0.0512392,0.116862,0.0655287,0.0597445,0.108546,0.0855888
2,3.2346e-08,0.158994,0.222971,0.170337,0.0539746,0.137663,0.172666,0.179481,0.066523,0.0821755,0.112944,0.0816775,0.130808,0.093182,0.101502,0.0509538,0.115694,0.0653597,0.060742,0.109207,0.0856529
2,3.23541e-08,0.158406,0.222604,0.171926,0.0532546,0.137277,0.175849,0.178608,0.0658964,0.0817805,0.11204,0.0849749,0.131589,0.0930826,0.101802,0.0506391,0.114499,0.0651378,0.0616004,0.109705,0.0856254
2,3.23623e-08,0.157703,0.22204,0.173218,0.0525369,0.136783,0.178606,0.177623,0.0652521,0.0818965,0.111093,0.0879296,0.132176,0.0928969,0.101975,0.0502978,0.113282,0.0648675,0.0623297,0.110055,0.0854705
2,3.23704e-08,0.156896,0.221295,0.174234,0.0518221,0.136188,0.180968,0.176535,0.064592,0.0819208,0.110107,0.0905653,0.132584,0.0926318,0.102032,0.0499323,0.112045,0.0645526,0.0629393,0.110266,0.0852818
2,3.23785e-08,0.155993,0.220385,0.174995,0.0511105,0.135503,0.182963,0.175353,0.0639181,0.0818603,0.109087,0.0929043,0.132827,0.0922938,0.101981,0.0495448,0.110791,0.0641971,0.0634378,0.110349,0.0850215
2,3.23866e-08,0.155003,0.219324,0.17552,0.0504028,0.134683,0.184618,0.178213,0.0632321,0.0817219,0.108016,0.0949673,0.132916,0.0918889,0.101777,0.0491374,0.109523,0.0637835,0.0638333,0.110314,0.0846957
