tau_m,tau_s,tau_r,tau_plus,tau_minus,a_plus,a_minus,CFI0,CF01,CFI1,alpha,TH0,TH1,fitnessEff,fitnessFake,fitnessSel
7.898969299362694e-09,5.247406975992999e-09,5.755101783430644e-10,9.349466017506253e-09,7.696221056784764e-09,3.8760964197739284e-05,1.5343592592030295e-05,0.7296531558695111,0.6219388421191472,0.8569831992583152,0.4422739787397416,0.6872273624868316,0.6901716714420576,0,0,0
1e-10,4.671046185881846e-09,9.657598468288674e-09,7.00914447992466e-09,4.86116971361489e-09,3.7346827513391454e-05,6.321220413486506e-05,0.6993498253929138,0.7894838128234123,0.5051973166690509,0.24426726810840046,0.619703794087503,0.679483370835616,0.0,0.0,0.0
1e-10,6.690725780571042e-10,8.968139593110797e-10,1.2631837568811841e-09,3.6983373985780148e-09,3.7346827513391454e-05,6.321220413486506e-05,0.6993498253929138,0.7894838128234123,0.5051973166690509,0.24426726810840046,0.619703794087503,0.679483370835616,0.0,0.0,0.0
5.079672264508865e-09,1.9695047864138134e-09,4.851010294451138e-09,5.467106740371755e-09,1e-10,2.668218546780321e-05,1.8588928065261945e-05,0.534494521631937,0.715647668106565,0.5610488218891452,0.2608801746186037,0.7158434493363932,0.9180268642713025,0.998598,0.9966,0.226273
9.603456885064475e-09,2.7754017694087917e-09,5.1350989686091785e-09,5.2216898293543e-09,4.86116971361489e-09,1.4883562740069122e-05,5.12842396501645e-06,0.8790109654637586,0.6610952390941587,0.7326835842927625,0.29845484119381493,0.8479881455550455,0.9112458666021866,0.996206,0.9966,0.212775
8.818519320555915e-09,6.1770721150412085e-09,8.91198822758446e-09,2.9491212831328694e-09,3.311489809807015e-09,5.4701322153926254e-05,3.0208306278731407e-05,0.8694576748072437,0.604664896982413,0.8102729330734217,0.3196850554898574,0.632373177963066,0.6,0.968727,0.9966,0.34922
4.67086678713518e-09,1.9695047864138134e-09,4.851010294451138e-09,5.467106740371755e-09,7.349078660217791e-09,9.086998687031919e-05,5.418639312765347e-05,0.5,0.6405857378586433,0.6218664000517665,0.9644306967387448,0.7475163280658825,0.9002248044769313,1.0,0.9964,0.363254
8.391745014876525e-09,1e-10,8.91198822758446e-09,2.9491212831328694e-09,3.311489809807015e-09,5.4701322153926254e-05,3.0208306278731407e-05,0.8694576748072437,0.604664896982413,0.8102729330734217,0.3196850554898574,0.6412054609651101,0.8912772701133295,0.996415,0.9966,0.236059
9.603456885064475e-09,1e-10,9.657598468288674e-09,7.00914447992466e-09,4.86116971361489e-09,1.4883562740069122e-05,5.12842396501645e-06,0.8790109654637586,0.6610952390941587,0.8457808172221627,0.29845484119381493,0.8479881455550455,0.9112458666021866,0.995808,0.9966,0.256978
8.391745014876525e-09,6.690725780571042e-10,8.968139593110797e-10,1.2631837568811841e-09,3.6983373985780148e-09,5.4701322153926254e-05,3.0208306278731407e-05,0.8694576748072437,0.604664896982413,0.5,0.3196850554898574,0.6412054609651101,0.8912772701133295,1.0,0.9966,0.0806386
9.988365130415925e-09,2.1483939334203056e-09,3.2479237440173695e-09,2.6416719675236077e-09,5.2071177765944095e-09,6.788306375814361e-05,6.193945263449541e-05,0.5314643124625297,0.8096607508858383,0.7165974330672222,0.5136276843826895,0.6491243225877483,0.6000559450824597,0.986472,0.9966,0.420653
9.988365130415925e-09,2.1483939334203056e-09,3.2479237440173695e-09,2.6416719675236077e-09,5.2071177765944095e-09,6.788306375814361e-05,6.193945263449541e-05,0.5314643124625297,0.8612860525679867,0.7165974330672222,0.8464655173294761,0.6491243225877483,0.6,0.994812,0.9966,0.431284
4.67086678713518e-09,1.9695047864138134e-09,1e-10,5.467106740371755e-09,4.262017525956154e-09,2.668218546780321e-05,1.8588928065261945e-05,0.534494521631937,0.715647668106565,0.5610488218891452,0.2608801746186037,0.7475163280658825,0.9002248044769313,0.998212,0.9964,0.483908
5.079672264508865e-09,4.646920016605582e-09,6.611961489430004e-09,1e-10,4.262017525956154e-09,2.668218546780321e-05,1.8588928065261945e-05,0.534494521631937,0.715647668106565,0.5610488218891452,0.2608801746186037,0.7158434493363932,0.9180268642713025,0.0,0.0,0.0
9.689495442641883e-09,4.359391474784643e-09,4.04769545484962e-09,2.533391193080054e-09,7.349078660217791e-09,9.086998687031919e-05,5.418639312765347e-05,0.6645316204503849,0.6405857378586433,0.6218664000517665,0.9424664081159543,0.7822442983759913,0.6,0.978286,0.9966,0.516652
5.079672264508865e-09,4.646920016605582e-09,6.611961489430004e-09,5.467106740371755e-09,4.262017525956154e-09,2.668218546780321e-05,1.8588928065261945e-05,0.534494521631937,0.715647668106565,0.7255190081123026,0.2608801746186037,0.7158434493363932,0.9180268642713025,0.0,0.0,0.0
9.689495442641883e-09,4.359391474784643e-09,4.04769545484962e-09,2.533391193080054e-09,7.349078660217791e-09,9.086998687031919e-05,5.418639312765347e-05,0.6645316204503849,0.7250189268936365,0.7415404869132377,0.9424664081159543,0.7822442983759913,0.9405643495760352,0.973682,0.9962,0.514011
6.036655746676706e-09,6.749759765165011e-09,3.79298929345027e-09,3.7582599893020895e-09,3.877019186736517e-09,7.381790088547344e-05,1.3497518357389667e-05,0.5,0.7250189268936365,0.7415404869132377,0.9195565624714203,0.7677681951819989,0.8353508509166442,0.0,0.0,0.0
6.036655746676706e-09,6.749759765165011e-09,3.79298929345027e-09,3.7582599893020895e-09,3.877019186736517e-09,7.381790088547344e-05,7.875056854770276e-05,0.791076538380858,0.6813294661227027,0.8509922028588532,0.6026173794232147,0.7677681951819989,0.8353508509166442,0.0,0.0,0.0
9.689495442641883e-09,4.359391474784643e-09,4.04769545484962e-09,1e-10,7.349078660217791e-09,9.086998687031919e-05,5.418639312765347e-05,0.6645316204503849,0.6405857378586433,0.6218664000517665,0.9424664081159543,0.7822442983759913,0.7509541729661156,0.00478457,0.0008,0.0107035
8.818519320555915e-09,2.1483939334203056e-09,3.2479237440173695e-09,1e-10,5.2071177765944095e-09,6.788306375814361e-05,6.193945263449541e-05,0.5314643124625297,0.8612860525679867,0.7165974330672222,0.8464655173294761,0.632373177963066,0.8077341941977626,0.00916763,0.0006,0.0182017
7.532520824881217e-09,8.052238146263495e-09,8.592983556897444e-09,8.003572120605158e-09,3.647816758132058e-09,3.23860106973512e-05,8.884822520943116e-05,0.6800026477699458,0.6509116424570446,0.8082686196692759,0.13381513553296148,0.6,0.8352382427968593,0.0,0.0,0.0
7.532520824881217e-09,8.052238146263495e-09,8.592983556897444e-09,8.003572120605158e-09,3.647816758132058e-09,3.23860106973512e-05,8.884822520943116e-05,0.6800026477699458,0.6509116424570446,0.8082686196692759,0.9346256091944946,0.8301718335777343,0.8352382427968593,0.0,0.0,0.0
8.398367977913755e-09,2.5203382630970597e-10,2.412853744094072e-09,3.771639549072642e-09,6.598643987589835e-09,6.697277310372604e-05,8.009557833044366e-05,0.7296531558695111,0.6219388421191472,0.8569831992583152,0.4422739787397416,0.6872273624868316,0.7661983640710561,0.984064,0.9966,0.491297
7.898969299362694e-09,5.247406975992999e-09,5.755101783430644e-10,9.349466017506253e-09,7.696221056784764e-09,3.23860106973512e-05,8.884822520943116e-05,0.6800026477699458,0.6509116424570446,0.5,0.13381513553296148,0.8253556331781342,0.7807690555139849,0.034056,0.0358,0.0684936
4.67086678713518e-09,1e-10,4.851010294451138e-09,2.533391193080054e-09,7.349078660217791e-09,9.086998687031919e-05,5.418639312765347e-05,0.6645316204503849,0.6405857378586433,0.6218664000517665,0.9644306967387448,0.7475163280658825,0.9002248044769313,0.998414,0.9966,0.389258
8.398367977913755e-09,2.5203382630970597e-10,5.755101783430644e-10,9.349466017506253e-09,7.696221056784764e-09,6.56e-06,1.5343592592030295e-05,0.7296531558695111,0.6219388421191472,0.8569831992583152,0.4422739787397416,0.6872273624868316,0.6901716714420576,0.44432,0.4026,0.317915
7.898969299362694e-09,5.247406975992999e-09,5.755101783430644e-10,9.349466017506253e-09,7.696221056784764e-09,3.8760964197739284e-05,1.5343592592030295e-05,0.5,0.6509116424570446,0.8082686196692759,0.13381513553296148,0.8253556331781342,0.7807690555139849,0.999002,0.9964,0.518724
1e-10,8.052238146263495e-09,8.592983556897444e-09,8.003572120605158e-09,3.647816758132058e-09,3.23860106973512e-05,8.884822520943116e-05,0.6800026477699458,0.6509116424570446,0.8082686196692759,0.13381513553296148,0.6,0.6901716714420576,0.0,0.0,0.0
1e-10,6.690725780571042e-10,8.968139593110797e-10,1.2631837568811841e-09,3.6983373985780148e-09,3.7346827513391454e-05,6.321220413486506e-05,0.6993498253929138,0.7894838128234123,0.5,0.9346256091944946,0.8301718335777343,0.8352382427968593,0.0,0.0,0.0
1e-10,6.690725780571042e-10,1e-10,1.2631837568811841e-09,3.6983373985780148e-09,3.7346827513391454e-05,6.321220413486506e-05,0.6993498253929138,0.7894838128234123,0.5051973166690509,0.24426726810840046,0.619703794087503,0.679483370835616,0.0,0.0,0.0
1e-10,6.690725780571042e-10,1e-10,8.003572120605158e-09,3.647816758132058e-09,3.23860106973512e-05,8.884822520943116e-05,0.6800026477699458,0.6509116424570446,0.8082686196692759,0.9346256091944946,0.8301718335777343,0.8352382427968593,0.0,0.0,0.0
9.689495442641883e-09,4.359391474784643e-09,4.04769545484962e-09,2.533391193080054e-09,7.349078660217791e-09,2.668218546780321e-05,1.8588928065261945e-05,0.534494521631937,0.715647668106565,0.5610488218891452,0.2608801746186037,0.7158434493363932,0.6,0.920713,0.9598,0.527974
5.079672264508865e-09,4.646920016605582e-09,6.611961489430004e-09,1e-10,4.262017525956154e-09,2.668218546780321e-05,1.8588928065261945e-05,0.534494521631937,0.715647668106565,0.5610488218891452,0.9195565624714203,0.6,0.8353508509166442,0.0,0.0,0.0
4.67086678713518e-09,1.9695047864138134e-09,1e-10,5.467106740371755e-09,7.349078660217791e-09,9.086998687031919e-05,5.418639312765347e-05,0.5,0.6405857378586433,0.6218664000517665,0.9644306967387448,0.7475163280658825,0.8352382427968593,0.998402,0.9966,0.531763
6.036655746676706e-09,6.749759765165011e-09,3.79298929345027e-09,3.7582599893020895e-09,3.877019186736517e-09,3.7346827513391454e-05,1.25e-06,0.6993498253929138,0.7894838128234123,0.5051973166690509,0.24426726810840046,0.619703794087503,0.679483370835616,0.0,0.0,0.0
5.079672264508865e-09,4.646920016605582e-09,6.611961489430004e-09,1e-10,4.262017525956154e-09,2.668218546780321e-05,1.8588928065261945e-05,0.5,0.7250189268936365,0.7415404869132377,0.9195565624714203,0.7677681951819989,0.8353508509166442,0.0,0.0,0.0
5.079672264508865e-09,4.646920016605582e-09,5.755101783430644e-10,9.349466017506253e-09,7.696221056784764e-09,3.8760964197739284e-05,1.5343592592030295e-05,0.5,0.6509116424570446,0.8082686196692759,0.4239381602055267,0.8253556331781342,0.7807690555139849,0.0,0.0,0.0
5.079672264508865e-09,4.646920016605582e-09,6.611961489430004e-09,1e-10,7.696221056784764e-09,3.8760964197739284e-05,1.5343592592030295e-05,0.5,0.6509116424570446,0.8082686196692759,0.13381513553296148,0.8253556331781342,0.7807690555139849,0.0,0.0,0.0
5.079672264508865e-09,4.646920016605582e-09,6.611961489430004e-09,3.9495361776097255e-09,5.118637895821046e-09,3.429082369390264e-05,5.494126042043332e-05,0.5,0.6404503218954342,0.8396405431590938,0.10146384350151683,0.8301718335777343,0.7807690555139849,0.0,0.0,0.0
4.67086678713518e-09,1.9695047864138134e-09,4.851010294451138e-09,5.467106740371755e-09,7.349078660217791e-09,3.23860106973512e-05,8.884822520943116e-05,0.6800026477699458,0.6509116424570446,0.8082686196692759,0.4743001031958431,0.6,0.8352382427968593,0.0360666,0.0018,0.0546813
7.532520824881217e-09,8.052238146263495e-09,8.592983556897444e-09,8.003572120605158e-09,3.647816758132058e-09,3.23860106973512e-05,8.884822520943116e-05,0.6800026477699458,0.6509116424570446,0.8082686196692759,0.9346256091944946,0.6,0.8352382427968593,0.0,0.0,0.0
7.532520824881217e-09,8.052238146263495e-09,8.592983556897444e-09,8.003572120605158e-09,3.647816758132058e-09,3.23860106973512e-05,1.25e-06,0.6800026477699458,0.6509116424570446,0.8082686196692759,0.13381513553296148,0.6,0.8352382427968593,0.0,0.0,0.0
7.532520824881217e-09,8.052238146263495e-09,1e-10,8.003572120605158e-09,3.647816758132058e-09,6.56e-06,1.5343592592030295e-05,0.7296531558695111,0.6219388421191472,0.8569831992583152,0.4422739787397416,0.6872273624868316,0.6901716714420576,0.0,0.0,0.0
7.898969299362694e-09,5.247406975992999e-09,5.755101783430644e-10,9.349466017506253e-09,7.696221056784764e-09,3.23860106973512e-05,5.418639312765347e-05,0.5,0.7250189268936365,0.7415404869132377,0.9424664081159543,0.7822442983759913,0.9405643495760352,0.0432387,0.0436,0.055442
7.532520824881217e-09,8.052238146263495e-09,8.592983556897444e-09,8.003572120605158e-09,3.647816758132058e-09,3.23860106973512e-05,8.884822520943116e-05,0.8152910804229487,0.6404503218954342,0.8396405431590938,0.2616577654803368,0.8301718335777343,0.8352382427968593,0.0,0.0,0.0
8.398367977913755e-09,1e-10,5.755101783430644e-10,9.349466017506253e-09,7.696221056784764e-09,6.788306375814361e-05,6.193945263449541e-05,0.5314643124625297,0.8612860525679867,0.7165974330672222,0.8464655173294761,0.632373177963066,0.8077341941977626,1.0,0.9966,0.110913
8.818519320555915e-09,2.1483939334203056e-09,1e-10,1e-10,5.2071177765944095e-09,6.788306375814361e-05,6.193945263449541e-05,0.5314643124625297,0.8612860525679867,0.7165974330672222,0.8464655173294761,0.8253556331781342,0.7807690555139849,0.0448278,0.0114,0.0591395
9.689495442641883e-09,4.359391474784643e-09,4.04769545484962e-09,2.533391193080054e-09,7.349078660217791e-09,6.56e-06,5.418639312765347e-05,0.6645316204503849,0.7250189268936365,0.7415404869132377,0.9424664081159543,0.7822442983759913,0.9405643495760352,0.00557425,0.0008,0.0113058
7.898969299362694e-09,5.247406975992999e-09,5.755101783430644e-10,9.349466017506253e-09,7.696221056784764e-09,9.086998687031919e-05,5.418639312765347e-05,0.5,0.5,0.6218664000517665,0.9644306967387448,0.7475163280658825,0.9002248044769313,0.97394,0.9822,0.431974
7.898969299362694e-09,5.247406975992999e-09,1e-10,5.467106740371755e-09,7.349078660217791e-09,9.086998687031919e-05,5.418639312765347e-05,0.5,0.6405857378586433,0.6218664000517665,0.9644306967387448,0.7475163280658825,0.9002248044769313,0.994224,0.9966,0.433671
7.898969299362694e-09,5.247406975992999e-09,5.755101783430644e-10,9.349466017506253e-09,7.696221056784764e-09,3.8760964197739284e-05,1.5343592592030295e-05,0.5,0.6509116424570446,0.8082686196692759,0.9978986847185694,0.7475163280658825,0.9002248044769313,0.998605,0.9962,0.430976
8.398367977913755e-09,2.5203382630970597e-10,5.755101783430644e-10,9.349466017506253e-09,7.696221056784764e-09,6.56e-06,1.5343592592030295e-05,0.7296531558695111,0.8612860525679867,0.5,0.8464655173294761,0.632373177963066,0.8077341941977626,0.386866,0.2394,0.268073
9.689495442641883e-09,4.359391474784643e-09,1e-10,2.533391193080054e-09,7.349078660217791e-09,9.086998687031919e-05,5.418639312765347e-05,0.6645316204503849,0.7250189268936365,0.5610488218891452,0.2608801746186037,0.7158434493363932,0.9180268642713025,0.996804,0.9966,0.5309
8.818519320555915e-09,1e-10,5.755101783430644e-10,9.349466017506253e-09,7.696221056784764e-09,3.23860106973512e-05,8.884822520943116e-05,0.6800026477699458,0.6509116424570446,0.5,0.13381513553296148,0.8253556331781342,0.7807690555139849,0.0456366,0.075,0.161176
1e-10,1.9695047864138134e-09,4.851010294451138e-09,5.467106740371755e-09,7.349078660217791e-09,3.23860106973512e-05,8.884822520943116e-05,0.6800026477699458,0.6509116424570446,0.8082686196692759,0.4743001031958431,0.6,0.7807690555139849,0.0,0.0,0.0
4.67086678713518e-09,1.9695047864138134e-09,1e-10,5.467106740371755e-09,7.349078660217791e-09,9.086998687031919e-05,5.418639312765347e-05,0.5,0.6405857378586433,0.6218664000517665,0.10146384350151683,0.6,0.7807690555139849,0.999802,0.9966,0.169989
4.67086678713518e-09,1.9695047864138134e-09,1e-10,5.467106740371755e-09,7.349078660217791e-09,9.086998687031919e-05,5.418639312765347e-05,0.5,0.6405857378586433,0.8396405431590938,0.10146384350151683,0.8301718335777343,0.7807690555139849,1.0,0.9966,0.213215
9.689495442641883e-09,4.359391474784643e-09,4.04769545484962e-09,2.533391193080054e-09,7.349078660217791e-09,2.668218546780321e-05,1.8588928065261945e-05,0.534494521631937,0.6509116424570446,0.5,0.1,0.8253556331781342,0.7807690555139849,0.69025,0.683,0.43987
4.67086678713518e-09,1.9695047864138134e-09,1e-10,5.467106740371755e-09,7.349078660217791e-09,9.086998687031919e-05,5.418639312765347e-05,0.5,0.6405857378586433,0.6218664000517665,0.9644306967387448,0.8301718335777343,0.7807690555139849,0.999604,0.9966,0.530173
5.079672264508865e-09,4.646920016605582e-09,6.611961489430004e-09,3.9495361776097255e-09,5.118637895821046e-09,3.429082369390264e-05,6.193945263449541e-05,0.5,0.8612860525679867,0.7165974330672222,0.8464655173294761,0.632373177963066,0.8077341941977626,0.0,0.0,0.0
5.079672264508865e-09,4.646920016605582e-09,6.611961489430004e-09,3.9495361776097255e-09,7.696221056784764e-09,6.788306375814361e-05,6.193945263449541e-05,0.5314643124625297,0.8612860525679867,0.7165974330672222,0.8464655173294761,0.7868249420819496,0.8077341941977626,0.0,0.0,0.0
5.079672264508865e-09,4.646920016605582e-09,6.611961489430004e-09,9.349466017506253e-09,7.696221056784764e-09,6.56e-06,1.25e-06,0.7296531558695111,0.8612860525679867,0.5,0.8464655173294761,0.632373177963066,0.8077341941977626,0.0,0.0,0.0
5.079672264508865e-09,4.646920016605582e-09,6.611961489430004e-09,1e-10,7.696221056784764e-09,6.56e-06,1.5343592592030295e-05,0.7296531558695111,0.8612860525679867,0.5,0.8464655173294761,0.632373177963066,0.8077341941977626,0.0,0.0,0.0
8.818519320555915e-09,4.646920016605582e-09,6.611961489430004e-09,3.9495361776097255e-09,5.118637895821046e-09,3.429082369390264e-05,5.494126042043332e-05,0.8152910804229487,0.6404503218954342,0.5,0.10146384350151683,0.8301718335777343,0.8352382427968593,0.7919,0.6882,0.506295
4.67086678713518e-09,1.9695047864138134e-09,4.851010294451138e-09,5.467106740371755e-09,7.349078660217791e-09,6.56e-06,8.884822520943116e-05,0.6800026477699458,0.6509116424570446,0.7165974330672222,0.8464655173294761,0.8253556331781342,0.7807690555139849,0.00778553,0.0006,0.0151367
9.689495442641883e-09,4.359391474784643e-09,4.04769545484962e-09,2.533391193080054e-09,7.349078660217791e-09,6.56e-06,1.8588928065261945e-05,0.534494521631937,0.715647668106565,0.5610488218891452,0.2608801746186037,0.7158434493363932,0.6,0.0352779,0.0158,0.0566995
7.898969299362694e-09,1.9695047864138134e-09,4.851010294451138e-09,5.467106740371755e-09,7.349078660217791e-09,3.23860106973512e-05,8.884822520943116e-05,0.6800026477699458,0.5,0.8082686196692759,0.4743001031958431,0.6,0.8352382427968593,0.784692,0.9104,0.393879
9.689495442641883e-09,4.359391474784643e-09,4.04769545484962e-09,2.533391193080054e-09,7.696221056784764e-09,3.23860106973512e-05,8.884822520943116e-05,0.6800026477699458,0.6509116424570446,0.5,0.13381513553296148,0.6,0.7807690555139849,0.0117737,0.0014,0.0229579
8.818519320555915e-09,2.1483939334203056e-09,1e-10,1e-10,5.2071177765944095e-09,6.788306375814361e-05,6.193945263449541e-05,0.5314643124625297,0.8612860525679867,0.7165974330672222,0.6478565802285862,0.8301718335777343,0.8352382427968593,0.153375,0.09,0.156415
