NL0, NL1,tau_m,tau_s,tau_r,tau_plus,tau_minus,a_plus,a_minus,CFI0,CF01,CFI1,alpha,TH0,TH1,K,K1,K2,IPSP_dt_dilation,Efficiency,FakeRate,Selectivity
9.0,11.0,5.994039086642572e-10,6.542879087495656e-09,9.921678630675349e-09,8.299422366622e-09,1.0025923465145019e-09,6.98181728906316e-12,7.578315804544942e-12,0.7443640983605511,0.8683235351401405,0.6534669564962656,0.44041628540568845,0.7377710359543592,0.8008087183676584,4.874914159185169,9.394041312268453,9.722867105169767,0.6370899698455696,0,0,0
7.0,8.0,1.5450940877965297e-09,8.218759390409961e-09,1.5297473517981515e-09,1.397670419199239e-09,1.3751045954704991e-09,8.475116084588182e-12,7.598666327813438e-12,0.5338173472608894,0.8790476155245839,0.6343332309345362,0.5306398601960549,0.8461754383093628,0.9315850080180296,7.676186789600413,1.273744627177169,4.109180651503558,0.05865006735351436,0,0,0
10.0,9.0,1.869142950566111e-09,5.9328706353018966e-09,1.0119980556122726e-09,6.124513815809826e-09,7.622281305124457e-09,9.347645851245112e-12,7.964899519274071e-12,0.5423355464437355,0.7323606834799053,0.5679509587746953,0.7523162227845813,0.8159407565814943,0.9304028316357937,9.311053768708383,6.920110048541925,1.2459385812771724,0.04628338730094169,0,0,0
9.0,7.0,1.3846177289274352e-09,6.269595236889634e-09,4.479645193865221e-09,2.5781664089619292e-09,2.0049508767757744e-09,1.679668678272061e-12,5.849270257375403e-12,0.8510313927174664,0.8636641347920917,0.7953225145524769,0.8680356419149537,0.8470770560660803,0.7580898577806231,9.484114541026836,4.293236230517046,3.1097564892930962,0.6097744062078511,0,0,0
9.0,8.0,4.51125523822561e-09,3.0904304675593844e-09,3.1505505490143194e-09,1.1006726282235794e-09,5.620691658775895e-09,1.5100679166580235e-12,6.161722999795276e-12,0.5851876134700894,0.8929910746757509,0.6497272925193789,0.7886915881222757,0.6371343628545543,0.613494065115657,3.7043067599907626,9.802172417552805,9.447813333729318,0.7217297820728937,0,0,0
6.0,7.0,7.487213586447802e-09,6.62111970778571e-09,4.5526625939473334e-10,1.2213923374661402e-09,2.429584730678322e-09,5.36340894188062e-12,9.153890658707267e-12,0.7140096723098073,0.7020734543944794,0.5283239789512448,0.6861350098311304,0.8063317269135728,0.7678486508119863,5.734653382695037,4.316407008496048,1.6991721232168775,0.584684574259478,0,0,0
9.0,7.0,2.3969594605245657e-09,4.065028571443844e-09,8.191120121013075e-09,3.944581741446053e-09,5.519848067414888e-09,3.774817639068336e-12,7.410871498261028e-12,0.6552203328869759,0.6655780213078126,0.8428683244213439,0.7489560309449741,0.7885452495984356,0.9068588061694877,7.186515945962158,9.615094350377047,1.5169813740660685,0.06332503012716673,0,0,0
11.0,11.0,4.5575834330074485e-09,3.647344687970229e-09,3.818531301788208e-09,4.808590998663588e-09,4.462726578550033e-09,5.809679033288794e-12,7.52271111132204e-12,0.8146929020165175,0.8948880023701967,0.6332793795924747,0.3519889461740737,0.8940393754741498,0.9397395968015403,8.615259623003752,5.0837327312053455,6.787673872607405,0.9504368040370984,0,0,0
6.0,7.0,5.054080643781143e-09,5.367141385854531e-09,3.766596415872841e-09,6.609142275847642e-10,8.276960170182666e-09,2.259621456599444e-12,1.5357341221195591e-12,0.6109638007302065,0.5357756614846899,0.7959527126175314,0.8769842391118386,0.642953517598189,0.8036916747705728,1.1993726311778188,8.956972028190155,1.875790123027719,0.6511054049724891,0,0,0
11.0,9.0,4.193890169562528e-09,3.0689654681222862e-09,4.275994360283551e-09,8.850794729047691e-09,2.8326265324796828e-09,3.0380081717130828e-12,4.743527462923023e-12,0.5381181015263304,0.8789587672673735,0.5840937447014802,0.189727977009747,0.6682554364617584,0.7007663498612909,2.2889641928221356,9.084741876856572,2.5119597695559612,0.675980095299038,0,0,0
8.0,8.0,6.454815631793093e-09,4.229315289255613e-10,6.2766989633625475e-09,8.645965789041264e-09,4.270822974003966e-09,2.1781161902824993e-12,1.0147238014886582e-12,0.8531755303976435,0.7031602613462267,0.8571559409446181,0.8833503866771721,0.9345054692516273,0.9339133386078885,5.033207856126528,3.298198563123564,5.175191605103701,0.8401497042364688,0,0,0
11.0,10.0,6.172664788985704e-09,4.667703231644902e-09,5.858341514207761e-09,5.693660634284145e-09,9.061818031627512e-09,1.9237472970076158e-12,8.538301434318388e-12,0.8795642954131199,0.609209545379911,0.6454863420234365,0.3922611688090156,0.6453321045461011,0.8294073075326152,3.7258400668363723,5.566087967558998,1.6177805446726063,0.20571272567705418,0,0,0
